,ECG,TIME
318,2483.122314453125,1609287640.173563
319,2602.927490234375,1609287640.17357
320,2649.6650390625,1609287640.173576
321,2572.842041015625,1609287640.173582
322,2495.66162109375,1609287640.173588
323,2582.453369140625,1609287640.173594
324,2682.231689453125,1609287640.1736
325,2584.59912109375,1609287640.173606
326,2492.889892578125,1609287640.173633
327,2554.3125,1609287640.17364
328,2652.011962890625,1609287640.173646
329,2588.0859375,1609287640.173652
330,2485.022216796875,1609287640.173658
331,2513.3642578125,1609287640.233127
332,2625.726318359375,1609287640.233141
333,2594.2998046875,1609287640.233147
334,2472.527587890625,1609287640.233153
335,2466.24658203125,1609287640.233159
336,2590.857666015625,1609287640.233166
337,2608.649658203125,1609287640.233172
338,2502.501220703125,1609287640.233178
339,2518.46044921875,1609287640.233184
340,2639.942138671875,1609287640.23319
341,2665.311279296875,1609287640.233196
342,2554.20068359375,1609287640.233202
343,2508.82666015625,1609287640.233208
344,2623.40185546875,1609287640.233214
345,2694.703857421875,1609287640.23322
346,2597.38427734375,1609287640.293306
347,2524.674072265625,1609287640.29332
348,2607.733154296875,1609287640.293326
349,2691.217041015625,1609287640.293332
350,2613.8798828125,1609287640.293357
351,2520.44970703125,1609287640.293363
352,2573.9375,1609287640.293369
353,2673.134521484375,1609287640.293376
354,2627.3134765625,1609287640.293381
355,2532.363037109375,1609287640.293388
356,2577.916015625,1609287640.293394
357,2681.292724609375,1609287640.2934
358,2650.78271484375,1609287640.293406
359,2548.389404296875,1609287640.293412
360,2554.558349609375,1609287640.293418
361,2675.97314453125,1609287640.353689
362,2688.6689453125,1609287640.353705
363,2580.1064453125,1609287640.353712
364,2560.5263671875,1609287640.353718
365,2667.56884765625,1609287640.353724
366,2720.8330078125,1609287640.35373
367,2617.344482421875,1609287640.353736
368,2562.1357421875,1609287640.353742
369,2685.47265625,1609287640.353749
370,2765.357666015625,1609287640.353755
371,2662.718505859375,1609287640.353761
372,2596.557373046875,1609287640.353767
373,2684.8466796875,1609287640.353794
374,2773.0244140625,1609287640.3538
375,2695.687255859375,1609287640.353807
376,2600.535888671875,1609287640.414072
377,2674.117919921875,1609287640.414118
378,2792.69384765625,1609287640.414125
379,2739.005126953125,1609287640.414133
380,2637.751708984375,1609287640.41414
381,2668.6640625,1609287640.414147
382,2776.444091796875,1609287640.414155
383,2768.352783203125,1609287640.414166
384,2657.443603515625,1609287640.414172
385,2643.38427734375,1609287640.414178
386,2761.066162109375,1609287640.414184
387,2767.30224609375,1609287640.414191
388,2655.58837890625,1609287640.414197
389,2645.507568359375,1609287640.414203
390,2769.068115234375,1609287640.414209
391,2801.634521484375,1609287640.472734
392,2708.4501953125,1609287640.472749
393,2650.693359375,1609287640.472755
394,2738.91552734375,1609287640.472761
395,2808.138916015625,1609287640.472767
396,2731.2490234375,1609287640.472797
397,2642.736083984375,1609287640.472803
398,2719.15673828125,1609287640.472809
399,2817.794921875,1609287640.472815
400,2772.957275390625,1609287640.472821
401,2673.536865234375,1609287640.472827
402,2709.4560546875,1609287640.472833
403,2825.238037109375,1609287640.47284
404,2787.642333984375,1609287640.472846
405,2672.888671875,1609287640.472852
406,2672.2626953125,1609287640.533814
407,2775.952392578125,1609287640.53383
408,2767.168212890625,1609287640.533836
409,2645.39599609375,1609287640.533843
410,2660.662109375,1609287640.533849
411,2757.892333984375,1609287640.533855
412,2760.596923828125,1609287640.533861
413,2656.28125,1609287640.533867
414,2644.2783203125,1609287640.533873
415,2765.871826171875,1609287640.533879
416,2831.161376953125,1609287640.533885
417,2722.93408203125,1609287640.533891
418,2647.474609375,1609287640.533897
419,2733.8193359375,1609287640.533924
420,2796.29248046875,1609287640.53393
421,2724.409423828125,1609287640.593409
422,2648.5029296875,1609287640.593426
423,2720.94482421875,1609287640.593433
424,2810.10595703125,1609287640.59344
425,2760.52978515625,1609287640.593447
426,2645.97705078125,1609287640.593455
427,2680.935302734375,1609287640.593462
428,2797.72314453125,1609287640.593469
429,2769.045654296875,1609287640.593477
430,2631.336669921875,1609287640.593484
431,2538.107666015625,1609287640.593492
432,2490.408935546875,1609287640.593501
433,2316.04296875,1609287640.59351
434,1949.988525390625,1609287640.593517
435,1663.7520751953125,1609287640.593525
436,1541.5550537109375,1609287640.653725
437,1386.8809814453125,1609287640.653741
438,1224.5179443359375,1609287640.653747
439,1484.3345947265625,1609287640.653753
440,2401.046630859375,1609287640.653759
441,3224.037841796875,1609287640.653765
442,3244.445068359375,1609287640.653771
443,3015.160888671875,1609287640.653799
444,2950.1171875,1609287640.653805
445,2934.314453125,1609287640.653811
446,2800.025390625,1609287640.653817
447,2666.38427734375,1609287640.653823
448,2703.219970703125,1609287640.653829
449,2803.445068359375,1609287640.653835
450,2758.965087890625,1609287640.653841
451,2637.148193359375,1609287640.71327
452,2654.649658203125,1609287640.713286
453,2773.71728515625,1609287640.713293
454,2753.377197265625,1609287640.713299
455,2642.043212890625,1609287640.713305
456,2614.461181640625,1609287640.713311
457,2727.784423828125,1609287640.713317
458,2747.11865234375,1609287640.713323
459,2626.553466796875,1609287640.713329
460,2593.562255859375,1609287640.713335
461,2697.54248046875,1609287640.713341
462,2755.32177734375,1609287640.713347
463,2633.460205078125,1609287640.713353
464,2567.745849609375,1609287640.713359
465,2645.0830078125,1609287640.713365
466,2723.4482421875,1609287640.772663
467,2637.908203125,1609287640.772679
468,2551.20556640625,1609287640.772686
469,2631.40380859375,1609287640.772694
470,2710.394775390625,1609287640.772701
471,2635.896484375,1609287640.772708
472,2524.472900390625,1609287640.772716
473,2549.059814453125,1609287640.772723
474,2657.823486328125,1609287640.77273
475,2616.58447265625,1609287640.772737
476,2503.976318359375,1609287640.772744
477,2509.787841796875,1609287640.772752
478,2618.01513671875,1609287640.77276
479,2611.331787109375,1609287640.772768
480,2493.426513671875,1609287640.772776
481,2487.614990234375,1609287640.833168
482,2584.21923828125,1609287640.833174
483,2606.973388671875,1609287640.833176
484,2491.28076171875,1609287640.833179
485,2444.587890625,1609287640.833181
486,2561.30859375,1609287640.833184
487,2631.18017578125,1609287640.833186
488,2542.82373046875,1609287640.833189
489,2471.611083984375,1609287640.833196
490,2568.483642578125,1609287640.833199
491,2652.861328125,1609287640.833201
492,2571.724609375,1609287640.833204
493,2483.703369140625,1609287640.833206
494,2559.855712890625,1609287640.833209
495,2666.048828125,1609287640.833211
496,2615.824462890625,1609287640.833214
497,2489.3359375,1609287640.894705
498,2517.9462890625,1609287640.894714
499,2636.231689453125,1609287640.89472
500,2599.91015625,1609287640.894726
501,2478.830810546875,1609287640.894732
502,2492.44287109375,1609287640.894739
503,2627.693359375,1609287640.894745
504,2644.054931640625,1609287640.894751
505,2523.1318359375,1609287640.894757
506,2494.208740234375,1609287640.894763
507,2609.3203125,1609287640.894769
508,2661.623291015625,1609287640.894776
509,2565.04150390625,1609287640.894783
510,2524.45068359375,1609287640.894789
511,2636.00830078125,1609287640.894816
512,2702.52685546875,1609287640.953623
513,2634.689453125,1609287640.95364
514,2545.23779296875,1609287640.953646
515,2615.2880859375,1609287640.953652
516,2705.097412109375,1609287640.953658
517,2629.302734375,1609287640.953665
518,2542.42138671875,1609287640.953671
519,2595.730224609375,1609287640.953677
520,2685.36083984375,1609287640.953683
521,2653.6884765625,1609287640.953689
522,2550.155029296875,1609287640.953695
523,2565.779052734375,1609287640.953701
524,2677.716552734375,1609287640.953708
525,2679.6611328125,1609287640.953714
526,2583.280517578125,1609287640.95372
527,2581.760498046875,1609287641.01358
528,2691.485107421875,1609287641.013605
529,2711.177001953125,1609287641.013612
530,2603.553466796875,1609287641.013618
531,2561.59912109375,1609287641.013624
532,2663.2548828125,1609287641.01363
533,2727.203369140625,1609287641.013636
534,2638.8916015625,1609287641.013642
535,2584.01806640625,1609287641.013648
536,2670.67578125,1609287641.013675
537,2749.2421875,1609287641.013681
538,2660.259765625,1609287641.013688
539,2605.81103515625,1609287641.013694
540,2668.17236328125,1609287641.0137
541,2774.253662109375,1609287641.013706
542,2704.4716796875,1609287641.073868
543,2617.120849609375,1609287641.073886
544,2688.98193359375,1609287641.073892
545,2784.4013671875,1609287641.073898
546,2740.92724609375,1609287641.073904
547,2642.937255859375,1609287641.07391
548,2651.78857421875,1609287641.073916
549,2761.0439453125,1609287641.073922
550,2755.03125,1609287641.073929
551,2652.704833984375,1609287641.073935
552,2655.342529296875,1609287641.073941
553,2774.208984375,1609287641.073947
554,2813.9951171875,1609287641.073953
555,2714.6640625,1609287641.073959
556,2662.56201171875,1609287641.073965
557,2756.439453125,1609287641.134457
558,2824.031005859375,1609287641.134473
559,2727.493896484375,1609287641.1345
560,2673.24609375,1609287641.134506
561,2775.371337890625,1609287641.134512
562,2839.856201171875,1609287641.134518
563,2758.607421875,1609287641.134525
564,2666.518310546875,1609287641.13453
565,2738.066162109375,1609287641.134537
566,2829.68603515625,1609287641.134542
567,2778.455810546875,1609287641.134548
568,2684.466796875,1609287641.134555
569,2720.52001953125,1609287641.134561
570,2823.49462890625,1609287641.134567
571,2796.359619140625,1609287641.134573
572,2684.57861328125,1609287641.194358
573,2700.314208984375,1609287641.194372
574,2822.757080078125,1609287641.194379
575,2823.226318359375,1609287641.194385
576,2718.15087890625,1609287641.194391
577,2694.56982421875,1609287641.194397
578,2809.167236328125,1609287641.194403
579,2840.213623046875,1609287641.194409
580,2734.400634765625,1609287641.194415
581,2691.306396484375,1609287641.194421
582,2788.8271484375,1609287641.194447
583,2857.08935546875,1609287641.194454
584,2769.559814453125,1609287641.19446
585,2684.0419921875,1609287641.194466
586,2777.852294921875,1609287641.194472
587,2871.617919921875,1609287641.254646
588,2780.802734375,1609287641.254664
589,2682.298583984375,1609287641.254671
590,2752.594970703125,1609287641.254678
591,2854.116455078125,1609287641.254685
592,2798.974853515625,1609287641.254693
593,2700.470703125,1609287641.254702
594,2717.435546875,1609287641.254709
595,2818.28662109375,1609287641.254716
596,2790.7939453125,1609287641.254722
597,2676.37548828125,1609287641.254729
598,2684.15380859375,1609287641.25476
599,2801.746337890625,1609287641.254768
600,2810.59765625,1609287641.254776
601,2691.865234375,1609287641.254783
602,2677.38134765625,1609287641.313502
603,2803.3779296875,1609287641.313516
604,2851.27783203125,1609287641.313523
605,2729.103271484375,1609287641.313529
606,2673.96142578125,1609287641.313556
607,2781.69677734375,1609287641.313562
608,2848.841552734375,1609287641.313568
609,2756.70751953125,1609287641.313574
610,2672.709716796875,1609287641.31358
611,2740.077880859375,1609287641.313586
612,2843.3876953125,1609287641.313592
613,2774.857177734375,1609287641.313599
614,2680.823486328125,1609287641.313605
615,2726.599853515625,1609287641.313611
616,2823.852294921875,1609287641.313617
617,2787.91064453125,1609287641.373776
618,2647.0947265625,1609287641.373791
619,2591.662353515625,1609287641.373797
620,2550.1103515625,1609287641.373803
621,2358.757080078125,1609287641.373809
622,2010.2711181640625,1609287641.373815
623,1733.24365234375,1609287641.373822
624,1612.4324951171875,1609287641.373828
625,1463.3016357421875,1609287641.373834
626,1311.7120361328125,1609287641.37384
627,1572.1993408203125,1609287641.373846
628,2478.3388671875,1609287641.373852
629,3249.608154296875,1609287641.373877
630,3262.996826171875,1609287641.373884
631,3053.6728515625,1609287641.37389
632,3002.353271484375,1609287641.43609
633,3000.364013671875,1609287641.43611
634,2849.08740234375,1609287641.436117
635,2706.974853515625,1609287641.436124
